source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 192, $stack6 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:192)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 192, $stack6 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:192)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 196, $stack35 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:196)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 196, $stack35 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:196)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 198, $stack19 = this.<net.jodah.lyra.internal.ChannelHandler: com.rabbitmq.client.ShutdownSignalException lastShutdownSignal>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:198)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 198, $stack19 = this.<net.jodah.lyra.internal.ChannelHandler: com.rabbitmq.client.ShutdownSignalException lastShutdownSignal>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:198)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 204, tmp$763008902 = new net.jodah.lyra.internal.ChannelHandler$2, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:204)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 204, tmp$763008902 = new net.jodah.lyra.internal.ChannelHandler$2, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:204)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 204, $stack12 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:204)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 204, $stack12 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:204)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 204, $stack14 = (com.rabbitmq.client.Channel) $stack13, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:204)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 204, $stack14 = (com.rabbitmq.client.Channel) $stack13, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:204)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 204, this.<net.jodah.lyra.internal.ChannelHandler: com.rabbitmq.client.Channel delegate> = $stack14, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:204)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 204, this.<net.jodah.lyra.internal.ChannelHandler: com.rabbitmq.client.Channel delegate> = $stack14, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:204)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 214, $stack30 = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:214)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 214, $stack30 = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:214)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 214, $stack15 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.config.Config config>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:214)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 214, $stack15 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.config.Config config>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:214)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 222, $stack42 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:222)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 222, $stack42 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:222)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 193, $stack28 = this.<net.jodah.lyra.internal.ChannelHandler: java.util.Map consumerInvocations>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 193, $stack28 = this.<net.jodah.lyra.internal.ChannelHandler: java.util.Map consumerInvocations>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 193, tmp$395257482 = new java.util.HashMap, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 193, tmp$395257482 = new java.util.HashMap, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 193, $stack31 = this.<net.jodah.lyra.internal.ChannelHandler: java.util.Map consumerInvocations>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 193, $stack31 = this.<net.jodah.lyra.internal.ChannelHandler: java.util.Map consumerInvocations>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 193, this.<net.jodah.lyra.internal.ChannelHandler: java.util.Map recoveryConsumers> = $stack30, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 193, this.<net.jodah.lyra.internal.ChannelHandler: java.util.Map recoveryConsumers> = $stack30, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

source(net.jodah.lyra.internal.ChannelHandler$2, call, 208, $stack7 = this.<net.jodah.lyra.internal.ChannelHandler$2: net.jodah.lyra.internal.ChannelHandler this$0>, [at net.jodah.lyra.internal.ChannelHandler$2.call(ChannelHandler$2.java:208)]) => sink(net.jodah.lyra.internal.ChannelHandler$2, call, 208, $stack7 = this.<net.jodah.lyra.internal.ChannelHandler$2: net.jodah.lyra.internal.ChannelHandler this$0>, [at net.jodah.lyra.internal.ChannelHandler$2.call(ChannelHandler$2.java:208)])

source(net.jodah.lyra.internal.ChannelHandler$2, call, 208, $stack5 = this.<net.jodah.lyra.internal.ChannelHandler$2: net.jodah.lyra.internal.ChannelHandler this$0>, [at net.jodah.lyra.internal.ChannelHandler$2.call(ChannelHandler$2.java:208)]) => sink(net.jodah.lyra.internal.ChannelHandler$2, call, 208, $stack5 = this.<net.jodah.lyra.internal.ChannelHandler$2: net.jodah.lyra.internal.ChannelHandler this$0>, [at net.jodah.lyra.internal.ChannelHandler$2.call(ChannelHandler$2.java:208)])

source(net.jodah.lyra.internal.ChannelHandler$2, call, 208, $stack6 = $stack5.<net.jodah.lyra.internal.ChannelHandler: long maxDeliveryTag>, [at net.jodah.lyra.internal.ChannelHandler$2.call(ChannelHandler$2.java:208)]) => sink(net.jodah.lyra.internal.ChannelHandler$2, call, 208, $stack6 = $stack5.<net.jodah.lyra.internal.ChannelHandler: long maxDeliveryTag>, [at net.jodah.lyra.internal.ChannelHandler$2.call(ChannelHandler$2.java:208)])

source(net.jodah.lyra.internal.ChannelHandler$2, call, 208, $stack7.<net.jodah.lyra.internal.ChannelHandler: long previousMaxDeliveryTag> = $stack6, [at net.jodah.lyra.internal.ChannelHandler$2.call(ChannelHandler$2.java:208)]) => sink(net.jodah.lyra.internal.ChannelHandler$2, call, 208, $stack7.<net.jodah.lyra.internal.ChannelHandler: long previousMaxDeliveryTag> = $stack6, [at net.jodah.lyra.internal.ChannelHandler$2.call(ChannelHandler$2.java:208)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 197, $stack7 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:197)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 197, $stack7 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:197)])

source(net.jodah.lyra.internal.ChannelHandler$2, <init>, 204, this.<net.jodah.lyra.internal.ChannelHandler$2: net.jodah.lyra.internal.ChannelHandler this$0> = this$0, [at net.jodah.lyra.internal.ChannelHandler$2.<init>(ChannelHandler$2.java:204)]) => sink(net.jodah.lyra.internal.ChannelHandler$2, <init>, 204, this.<net.jodah.lyra.internal.ChannelHandler$2: net.jodah.lyra.internal.ChannelHandler this$0> = this$0, [at net.jodah.lyra.internal.ChannelHandler$2.<init>(ChannelHandler$2.java:204)])

source(net.jodah.lyra.internal.util.Exceptions, isConnectionClosure, 35, $stack1 = e instanceof com.rabbitmq.client.AlreadyClosedException, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:220), at net.jodah.lyra.internal.util.Exceptions.isConnectionClosure(Exceptions.java:35)]) => sink(net.jodah.lyra.internal.util.Exceptions, isConnectionClosure, 35, $stack1 = e instanceof com.rabbitmq.client.AlreadyClosedException, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:220), at net.jodah.lyra.internal.util.Exceptions.isConnectionClosure(Exceptions.java:35)])

source(net.jodah.lyra.internal.util.Exceptions, isConnectionClosure, 35, $stack2 = $stack3 instanceof com.rabbitmq.client.Connection, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:220), at net.jodah.lyra.internal.util.Exceptions.isConnectionClosure(Exceptions.java:35)]) => sink(net.jodah.lyra.internal.util.Exceptions, isConnectionClosure, 35, $stack2 = $stack3 instanceof com.rabbitmq.client.Connection, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:220), at net.jodah.lyra.internal.util.Exceptions.isConnectionClosure(Exceptions.java:35)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 215, $stack17 = this.<net.jodah.lyra.internal.ChannelHandler: java.util.Map recoveryConsumers>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:215)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 215, $stack17 = this.<net.jodah.lyra.internal.ChannelHandler: java.util.Map recoveryConsumers>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:215)])

source(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 213, $stack10 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.config.Config config>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:213)]) => sink(net.jodah.lyra.internal.ChannelHandler, recoverChannel, 213, $stack10 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.config.Config config>, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:213)])

source(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: java.util.HashMap$Node[] table> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: java.util.HashMap$Node[] table> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

source(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: java.util.Set entrySet> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: java.util.Set entrySet> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

source(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: int size> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: int size> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

source(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: int modCount> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: int modCount> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

source(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: int threshold> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)]) => sink(java.util.HashMap, <init>, -1, HashMap.<java.util.HashMap: int threshold> = null, [at net.jodah.lyra.internal.ChannelHandler.recoverChannel(ChannelHandler.java:193)])

List(Node(<net.jodah.lyra.internal.ChannelHandler: void recoverChannel(boolean)>,$stack6 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>,192,SourceNode, path: (<net.jodah.lyra.internal.ChannelHandler: void recoverChannel(boolean)>, $stack6 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>, 192)) => Node(<net.jodah.lyra.internal.ChannelHandler: void recoverChannel(boolean)>,if $stack6 != null goto $stack7 = this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats>,192,SourceNode, path: ) => Node(<net.jodah.lyra.internal.ChannelHandler: void recoverChannel(boolean)>,tmp$1298350375 = new net.jodah.lyra.internal.RecurringStats,195,SinkNode, path: (<net.jodah.lyra.internal.ChannelHandler: void recoverChannel(boolean)>, specialinvoke tmp$1298350375.<net.jodah.lyra.internal.RecurringStats: void <init>(net.jodah.lyra.internal.RecurringPolicy)>($stack34), 195)) => Node(<net.jodah.lyra.internal.ChannelHandler: void recoverChannel(boolean)>,this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats> = tmp$1298350375,195,SinkNode, path: (<net.jodah.lyra.internal.ChannelHandler: void recoverChannel(boolean)>, this.<net.jodah.lyra.internal.ChannelHandler: net.jodah.lyra.internal.RecurringStats recoveryStats> = tmp$1298350375, 195)))

